Observation,TextUrn,Image,Comments
urn:cite:op:hmt12E.1,"urn:cts:greekLit:tlg0012.tlg001.msA:12.101@ς","urn:cite:hmt:vaimg.VA156VN-0658@0.5085,0.2337,0.017,0.0075",
urn:cite:op:hmt12E.2,"urn:cts:greekLit:tlg0012.tlg001.msA:12.101@α","urn:cite:hmt:vaimg.VA156VN-0658@0.5255,0.2322,0.011,0.0068",
urn:cite:op:hmt12E.3,"urn:cts:greekLit:tlg0012.tlg001.msA:12.101@ρ","urn:cite:hmt:vaimg.VA156VN-0658@0.5363,0.2321,0.0083,0.0108",
urn:cite:op:hmt12E.4,"urn:cts:greekLit:tlg0012.tlg001.msA:12.101@π","urn:cite:hmt:vaimg.VA156VN-0658@0.5453,0.2291,0.0181,0.0111",
urn:cite:op:hmt12E.5,"urn:cts:greekLit:tlg0012.tlg001.msA:12.101@η","urn:cite:hmt:vaimg.VA156VN-0658@0.5626,0.2298,0.0093,0.0081",
urn:cite:op:hmt12E.6,"urn:cts:greekLit:tlg0012.tlg001.msA:12.101@δ","urn:cite:hmt:vaimg.VA156VN-0658@0.5682,0.2207,0.0214,0.0169",
urn:cite:op:hmt12E.7,"urn:cts:greekLit:tlg0012.tlg001.msA:12.101@]ω","urn:cite:hmt:vaimg.VA156VN-0658@0.5842,0.2178,0.0223,0.0202",
urn:cite:op:hmt12E.8,"urn:cts:greekLit:tlg0012.tlg001.msA:12.101@ν","urn:cite:hmt:vaimg.VA156VN-0658@0.5981,0.227,0.0164,0.0124",




